Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
1985,12,23.2,12.6,31.3,7
1986,1,22.9,12.2,35.9,5.7
1986,2,26,12.2,38.7,7.6
1986,3,25.4,12.8,37.7,5.6
1986,4,19.9,9.8,31.7,4.3
1986,5,16.4,8.6,21,3.7
1986,6,13.2,4.9,16.4,-3.1
1986,7,13.1,4.9,16.8,0.5
1986,8,14.6,4.7,21.2,-2
1986,9,16,6.6,21.3,1.5
1986,10,17.8,6.9,26.3,1
1986,11,20.9,9.3,33.7,2.5
1986,12,22.9,10,36.3,3.6
1987,1,24.1,10.7,37.4,6.5
1987,2,25.6,11.6,40,6
1987,3,21.3,10.5,33.8,5.6
1987,4,21,9.7,30.7,2.6
1987,5,16.7,8.4,22.5,2.5
1987,6,14.1,6.4,19.3,0.6
1987,7,13.4,4.4,16.6,0
1987,8,14.5,6.1,18.5,1.3
1987,9,18.2,7.2,31,1.7
1987,10,18.5,8.5,31.9,2
1987,11,22.2,11.6,36.5,5.8
1987,12,21.7,12,32.6,6.3
1988,1,27.5,14.4,39.3,9.7
1988,2,23.8,13.1,38.1,7
1988,3,24.7,12.7,36.4,8
1988,4,21.3,11.3,26,3.9
1988,5,17.7,9.8,24.5,3.4
1988,6,15.1,6.3,19.8,0.7
1988,7,14.3,6.5,17.3,2.4
1988,8,15.2,6.1,20.7,0.6
1988,9,18.1,6.9,24.6,0.6
1988,10,20.8,8.6,29.7,1.8
1988,11,21.7,10.7,36.4,5.9
1988,12,23.6,13.6,33.6,7.6
1989,1,24.8,13.3,36.7,7.8
1989,2,26.5,14.8,39.6,9.4
1989,3,23.9,14.5,37.1,7.3
1989,4,20.5,10.8,27.9,5
1989,5,17.1,8.7,22,1.8
1989,6,13.3,4.7,17.6,-1.8
1989,7,13,4.4,18,-1.6
1989,8,13.4,4.5,18,-0.1
1989,9,16.5,6,24.4,2.1
1989,10,18.4,7.5,28.2,2.5
1989,11,21.6,10.4,34.6,4.6
1989,12,24.7,11.4,36.3,6.7
1990,1,26.1,13.7,39.1,6.8
1990,2,24.3,13.7,32.5,9.4
1990,3,24.7,12.7,32.2,4.8
1990,4,20.7,11.7,28.5,6.7
1990,5,17.4,7.8,24.6,-0.8
1990,6,14.5,6,18.7,2.2
1990,7,14.1,6.3,18,1.5
1990,8,13.9,6.1,16.5,-0.4
1990,9,16.6,6.9,24.3,-0.9
1990,10,19.5,8.8,33,1.6
1990,11,22.4,10.4,32.3,5
1990,12,25.6,12.2,40.2,6.9
1991,1,25.1,14.9,41.5,10.3
1991,2,24.6,12.5,40.1,7.7
1991,3,23.8,11.1,41.4,5.4
1991,4,20.2,8.4,27.9,3.3
1991,5,16.5,7,22.4,2.4
1991,6,15.4,8.3,19,1.7
1991,7,13.4,5.7,16.6,1.8
1991,8,14.4,5.5,17.1,0.1
1991,9,16,6.3,22,1.6
1991,10,20.8,8.9,32.5,3.6
1991,11,21.8,8.5,37.5,3.5
1991,12,22,12.2,35.3,5
1992,1,21.7,12.3,40,6
1992,2,24.1,13.5,36.1,7.7
1992,3,24,14.3,35.2,6.3
1992,4,20.8,10.3,30.7,2.5
1992,5,16.7,7.7,23.6,3.7
1992,6,13.6,6.1,16.6,2
1992,7,13.9,5.5,17.7,0.3
1992,8,13.7,4.5,16.6,-0.5
1992,9,14.1,5.9,17.5,1.2
1992,10,18.3,8.8,28,1.9
1992,11,19.4,9.4,27.6,2.9
1992,12,22.7,13.9,31.2,5.4
1993,1,25.6,14,39.5,7.8
1993,2,25.7,14.3,39.2,6
1993,3,22.4,12.3,30.2,7.2
1993,4,22.8,9.6,29.9,3.3
1993,5,17.6,7.5,24,1.4
1993,6,13.9,6.4,17.3,0.4
1993,7,14.4,5.8,18.7,0
